id,website,category,ASIN_number,title,price,brand,model_name,memory_storage,ram,color,link
1,Amazon,Phones,B0CP6DDN1H,Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,129.99,Motorola,Moto G Play 2024,64 GB,4 GB,Sapphire Blue,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_2?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-2
2,Amazon,Phones,B0DLHNWHRF,"SAMSUNG Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",199.99,Samsung Electornics,Galaxy A16,128 GB,4 GB,Blue Black,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-1
3,Amazon,Phones,B0F3VRVN1J,UMIDIGI A15,152.99,UMIDIGI,A15,256 GB,,White,https://www.amazon.com/UMIDIGI-A15/dp/B0F3VRVN1J/ref=sr_1_3?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-3
4,Amazon,Phones,B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.88,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_5?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-5
5,Amazon,Phones,B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",126.49,No,Samsung Galaxy A16,128 GB,4 GB,Gray,https://www.amazon.com/SAMSUNG-International-SM-A165F-DS-Unlocked/dp/B0DT4T8D65/ref=sr_1_4?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-4
6,Amazon,Phones,B0FBRHKPPS,"Unlocked 3G Smartphone, 5.0-inch Screen, 3500mAh Battery, 16GB ROM (Maximum Support Expansion 128GB) Android Phone Dual Card Dual Standby (Black)",51.99,SmlPrz,SHot 50i,16 GB,1 GB,black,https://www.amazon.com/Unlocked-Smartphone-5-0-inch-3500mAh-Expansion/dp/B0FBRHKPPS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-7
7,Amazon,Phones,B0CP4FMLBT,BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black,49.9,BLU,C5L MAX,16 GB,2 GB,BLACK,https://www.amazon.com/BLU-All-Day-Battery-Unlocked-Warranty/dp/B0CP4FMLBT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-6
8,Amazon,Phones,B0DCLD9PLY,"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Gray",524.99,Samsung,Galaxy S24 FE,128 GB,8 GB,Gray,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-High-Res-Manufacturer/dp/B0DCLD9PLY/ref=sr_1_8?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-8
9,Amazon,Phones,B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",59.99,‎Panasonic,,,,‎Metallic Black,https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZG14KFJ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-9
10,Amazon,Phones,B0CMPLN52T,"Apple iPhone 15, 128GB, Pink - Unlocked (Renewed)",509.99,Apple Computer,"Apple iPhone 15, 128GB, Pink - Unlocked (Renewed)",128 GB,8 GB,Pink,https://www.amazon.com/Apple-iPhone-15-128GB-Pink/dp/B0CMPLN52T/ref=sr_1_10?dib=eyJ2IjoiMSJ9.CKlj8ciI3dfFppsSCfuyJbUH5PxK2edlCjBs_7N76CpZfi3QwxX9Y0XgPnH8bg-yCtzB6MG-Nb3j-PkK2jGXAE_yJrUeV7Z6O7ATCDP-wc-TLdo-MFki_zfRu8v6RTRQT29yXhBgg8hxUH9sYDaJu-uQg_4pZ5lN88sceWnIl-Dk-XCO3QNh_GBPepJctD2Q-bNEmw8Gm4SgOFE5ef3PGBDYKyq2sFzBugi4ycus31c.qQI4AJGmKgy8wR36lgBuMGrCaL0Phe5XWZGrCr3jV4c&dib_tag=se&keywords=phone&qid=1751240176&sr=8-10
