id,website,category,ASIN_number,title,price,brand,model_name,memory_storage,ram,color,link
1,Amazon,Phones,B086QCGQ8C,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",59.58,‎AT&T,,,,‎Silver/Black,https://www.amazon.com/AT-BL102-3-3-Handset-Answering-Unsurpassed/dp/B086QCGQ8C/ref=sr_1_2?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-2
2,Amazon,Phones,B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,34.99,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-1
3,Amazon,Phones,B0CWHXVLXG,Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,145.79,Motorola,Moto G 5G 2024,128 GB,4 GB,Sage Green,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Green/dp/B0CWHXVLXG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-3
4,Amazon,Phones,B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",59.99,‎Panasonic,,,,‎Metallic Black,https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZG14KFJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-4
5,Amazon,Phones,B0BN733951,"Apple iPhone 14, 128GB, Blue - Unlocked (Renewed)",360.87,Apple Computer,iPhone 14,128 GB,128 GB,Blue,https://www.amazon.com/Apple-iPhone-14-128GB-Blue/dp/B0BN733951/ref=sr_1_5?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-5
6,Amazon,Phones,B0CP6DDN1H,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,107.7,Motorola,Moto G Play 2024,64 GB,4 GB,Sapphire Blue,https://www.amazon.com/Moto-Play-Unlocked-Camera-Sapphire/dp/B0CP6DDN1H/ref=sr_1_6?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-6
7,Amazon,Phones,B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",247.13,No,Galaxy S21 Ultra 5G,128 GB,12 GB,Phantom Black,https://www.amazon.com/Galaxy-S21-Ultra-5G-Smartphone/dp/B096T6Y623/ref=sr_1_7?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-7
8,Amazon,Phones,B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,69.99,BLU,G44,64 GB,2 GB,BLUE,https://www.amazon.com/BLU-All-Day-Unlocked-Infinity-Warranty/dp/B0DD8HL23R/ref=sr_1_8?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-8
9,Amazon,Phones,B01KLNIT0S,Panasonic Expandable Cordless Phone System with Amber Backlit Display – 2 Handsets – KX-TGC352B (Black),34.0,No,,,,,https://www.amazon.com/PANASONIC-Expandable-Cordless-Backlit-Display/dp/B01KLNIT0S/ref=sr_1_9?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-9
10,Amazon,Phones,B0DLHNWHRF,"SAMSUNG Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",174.99,Samsung Electornics,Galaxy A16,128 GB,4 GB,Blue Black,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_11?dib=eyJ2IjoiMSJ9.nbJnTI0_SEMGFyuxavmBCglsHMNsgXMTsrngbx-D127LjFqsFIIQeQG8GssvQzl8Brlz8QiWfvKhOqDBf6SOJXApuPD2jp64ZDznEemkQk8rkKEnJM3CBhPV8fbDIBBsGYMQZaWp2g2TaxXjSeBUe_6QNBiWjkAY2j_HuJoTzi33FObmaD__YywErOEhvPJoN5T57v5L6uN_oObSRy1STC3q1GXCNh5uRH8ieeGGssk.lo_f2opZZ8nWU3bUuwkqOKpTPettRWfR-klTnoDzoww&dib_tag=se&keywords=phone&qid=1743291486&sr=8-11
