id,website,category,ASIN_number,title,price,brand,model_name,memory_storage,ram,color,link
1,Amazon,Phones,B0DLHNWHRF,"Samsung Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",174.99,Samsung Electornics,Galaxy A16,128 GB,4 GB,Blue Black,https://www.amazon.com/SAMSUNG-Unlocked-Smartphone-Charging-Expandable/dp/B0DLHNWHRF/ref=sr_1_1?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-1
2,Amazon,Phones,B09LNW3CY2,"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",292.88,Apple Computer,iPhone 13,128 GB,8 GB,Midnight,https://www.amazon.com/Apple-iPhone-13-128GB-Midnight/dp/B09LNW3CY2/ref=sr_1_2?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-2
3,Amazon,Phones,B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,39.88,MOTOROLA INC,Moto G Play,4 GB,4 GB,BLUE,https://www.amazon.com/Tracfone-Motorola-5000mAh-Battery-Sapphire/dp/B0CTW8TXGH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-3
4,Amazon,Phones,B0DNRK51QQ,Motorola Moto G - 2025 | Unlocked | Made for US 4/128GB | 50MP Camera | Forest Gray,199.99,Motorola,Moto G - 2025,,4 GB,Forest Gray,https://www.amazon.com/Moto-Unlocked-128GB-Camera-Forest/dp/B0DNRK51QQ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-4
5,Amazon,Phones,B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",49.99,‎Panasonic,,,,‎Metallic Black,https://www.amazon.com/Panasonic-Answering-Bilingual-High-Contrast-Expandable/dp/B0BZG14KFJ/ref=sr_1_5?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-5
6,Amazon,Phones,B096T6Y623,"SAMSUNG Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",264.99,No,Galaxy S21 Ultra 5G,128 GB,12 GB,Phantom Black,https://www.amazon.com/Galaxy-S21-Ultra-5G-Smartphone/dp/B096T6Y623/ref=sr_1_6?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-6
7,Amazon,Phones,B0DT1KMCXP,"AMSUNG Galaxy A16 5G Dual SIM (128GB, 2025) 6.7"" 90Hz AMOLED, Water Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A166M/DS Blue Black",161.5,SAMSUNG,Galaxy A16,4 GB,4 GB,Blue Black,https://www.amazon.com/AMSUNG-Resistant-Factory-Unlocked-International/dp/B0DT1KMCXP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-7
8,Amazon,Phones,B086QCGQ8C,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",70.54,‎AT&T,,,,‎Silver/Black,https://www.amazon.com/AT-BL102-3-3-Handset-Answering-Unsurpassed/dp/B086QCGQ8C/ref=sr_1_8?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-8
9,Amazon,Phones,B0DT4T8D65,"SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7"" Dual Sim 50MP Dual Cam (Case Bundle) (Gray)",135.0,No,Samsung Galaxy A16,128 GB,4 GB,Gray,https://www.amazon.com/SAMSUNG-International-SM-A165F-DS-Unlocked/dp/B0DT4T8D65/ref=sr_1_9?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-9
10,Amazon,Phones,B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,69.99,BLU,G44,64 GB,2 GB,BLUE,https://www.amazon.com/BLU-All-Day-Unlocked-Infinity-Warranty/dp/B0DD8HL23R/ref=sr_1_10?dib=eyJ2IjoiMSJ9.PRV0PNgMtRUTBiFYWkNcHVeOmnYJk242FSZEqQ_0fJzieok_t72KmtzsmZE4ZBl5F066eBvVvQkRzL7jLD3aThmq3PfTAkfZbVPpG-EMBX_GiQsruQu09Zl6CswCvKL4IJ0jq5gXD1N4oQmOE6Iezxaaudp8_sMRMtD8wMYoRrTfZNjU8fAzjh-_mTItyU51ufo_2qCJFiteGyZ9O0Do9t8YZiSVMcyK0Uoh4-zM0jI.RO0MuAJ7VrXO58nfKBiaAqFbCx9QwEKmdmMH2euvRdc&dib_tag=se&keywords=phone&qid=1749166709&sr=8-10
